ICT Access and Usage by Households;;;;;;;;;;;;;;
Measure: Households with Internet access at home;;;;;;;;;;;;;;
Combined unit of measure: Percentage of households;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Time period;Time period;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Reference area;;;;;;;;;;;;;;
Australia;;D   83,00;;85,89;;86,11;;;;;;;;
Austria;;79,28;80,86;80,99;82,42;85,09;88,79;88,78;89,91;90,40;95,00;93,15;94,98;
Belgium;;77,71;80,05;82,80;81,83;84,79;85,97;87,27;89,73;90,86;92,30;94,44;94,48;
Canada;;81,40;83,70;84,90;86,90;87,40;89,00;93,60;91,00;94,20;92,80;94,01;;
Chile;;60,53;61,61;B   66,50;71,56;79,30;87,54;;;;;;;
Colombia;;B   32,14;35,66;37,98;41,80;45,75;;52,66;B,D   52,16;;D   60,55;D   59,47;;
Costa Rica;;49,31;48,25;55,05;60,18;64,84;68,57;B   73,08;86,34;84,69;81,31;83,25;D   81,70;
Czechia;;72,55;72,62;77,99;78,98;81,65;83,24;86,36;87,00;88,02;89,31;91,48;92,80;
Denmark;;92,00;92,71;93,12;91,74;94,34;97,00;92,66;95,43;95,27;96,14;95,16;96,09;
Estonia;;73,82;79,31;B   82,90;87,73;86,19;88,27;90,47;90,43;89,98;91,82;92,41;93,22;
Finland;;86,80;89,24;89,83;89,93;91,95;94,42;94,28;94,36;96,00;96,56;97,59;96,78;
France;;80,00;81,72;82,96;82,62;85,87;86,41;88,56;90,17;;93,33;92,25;93,34;
Germany;;85,50;87,75;89,47;90,29;92,14;92,86;94,39;94,83;95,80;B   91,88;91,41;91,66;
Greece;;53,58;56,31;65,55;68,09;69,13;70,96;76,49;78,54;80,38;85,07;85,49;86,90;
Hungary;;66,81;69,66;73,06;75,64;79,18;82,35;83,31;86,20;87,63;90,78;91,44;92,73;
Iceland;;94,60;96,41;96,48;;;97,86;99,18;97,70;98,48;98,36;;;
Ireland;;81,09;82,39;82,17;84,86;86,91;88,37;89,11;90,59;91,82;B   97,50;;93,92;
Israel;;70,65;70,60;D   72,07;D   74,29;D   75,37;74,06;D   74,94;D   75,90;D   82,50;D   83,00;;;
Italy;;62,92;68,91;72,61;75,39;78,51;81,02;84,34;85,17;88,10;90,49;91,45;91,89;
Korea;;97,35;98,14;98,49;98,78;99,19;99,50;99,48;99,69;99,75;99,93;99,96;99,97;
Latvia;;68,68;71,60;73,38;76,00;B   77,34;78,61;81,58;85,45;89,73;91,15;91,39;93,07;
Lithuania;;60,12;64,73;65,97;68,26;71,75;74,97;78,38;81,52;82,13;86,55;87,71;88,59;
Luxembourg;;93,08;94,46;95,56;96,78;97,04;97,23;B   92,99;95,20;93,57;99,18;97,64;99,06;
Mexico;;25,97;30,74;34,39;B   39,18;47,02;B   50,67;52,51;55,80;59,94;66,44;68,50;;
Netherlands;;93,55;94,63;95,78;95,97;96,66;98,23;98,00;98,41;96,95;98,56;98,28;98,86;
New Zealand;;80,00;;;;;;;;;;;;
Norway;;92,69;94,29;93,07;96,60;97,05;96,65;96,01;98,38;96,20;98,93;99,01;99,01;
Poland;;70,49;71,90;74,76;75,78;80,45;81,88;84,19;86,75;90,38;92,42;93,33;93,30;
Portugal;;61,02;62,34;64,87;70,23;74,05;76,94;79,43;80,94;84,49;87,34;88,15;89,01;
Slovak Republic;;75,44;77,91;78,35;79,48;80,52;81,33;80,84;82,19;85,78;89,96;90,65;90,60;
Slovenia;;73,94;75,62;76,80;77,64;78,42;81,74;86,68;88,96;89,97;93,04;92,60;93,72;
Spain;;66,59;69,73;74,35;78,75;81,93;83,39;86,36;91,44;95,38;95,92;96,08;96,45;
Sweden;;91,69;92,59;89,57;91,03;B   93,80;94,73;93,42;96,06;93,94;93,23;94,33;94,87;
Switzerland;;85,50;89,82;90,62;;;B   93,06;;95,51;;98,67;;99,66;
Türkiye;;47,20;49,08;60,24;69,54;76,34;80,74;83,79;88,30;90,73;91,98;94,15;95,54;
United Kingdom;;86,80;88,45;90,34;91,25;93,48;93,99;94,85;95,85;97,30;;;;
United States;;74,76;74,15;;73,37;;77,97;;79,88;;81,85;;;
European Union (27 countries);;74,54;77,17;79,61;81,37;84,21;85,81;87,94;89,68;91,30;B   92,31;92,44;93,09;
European Union (28 countries);;76,05;78,54;80,99;82,60;85,38;86,86;88,80;90,48;;;;;
OECD;;73,57;B   75,70;77,92;79,89;B   82,22;84,17;85,63;87,48;B   88,73;B   90,84;91,11;91,55;
Non-OECD economies;;;;;;;;;;;;;;
·??Brazil;;39,57;43,30;49,60;49,20;53,90;D   60,80;66,66;71,40;D   83,17;81,53;80,24;84,11;
·??Bulgaria;;50,92;53,71;56,65;59,14;63,54;67,33;72,13;75,07;78,85;83,53;87,31;88,50;
·??Croatia;;66,41;64,58;68,37;76,71;77,34;76,45;81,52;80,52;85,00;86,09;85,52;89,56;
·??Romania;;53,77;58,07;B   60,54;67,71;72,40;76,45;80,89;83,61;86,24;88,74;89,41;92,00;
;;;;;;;;;;;;;;
© Terms & conditions ;;;;;;;;;;;;;;ICT Access and Usage by Households

